,Date,Return_Date,Symbol,Return(%),Test_Error(RMSE),Bench_0(RMSE),Test_Corr
266,2016-06-13,2016-06-20,LLY,-0.0043918334414,0.0214766990083,0.0221020827538,0.278233713671
325,2016-06-13,2016-06-20,NOC,0.00595388661371,0.0214909681323,0.0195042122247,-0.116489905485
270,2016-06-13,2016-06-20,L,0.00721651588099,0.0214911933222,0.0219358473058,0.243701439019
441,2016-06-13,2016-06-20,FOX,0.0114647751423,0.0215643284062,0.0230453713152,0.352247340962
82,2016-06-13,2016-06-20,CVS,-0.00900063010822,0.0216712546093,0.0212244174979,-0.0367923016093
206,2016-06-13,2016-06-20,GWW,-0.015259277642,0.0217078630106,0.0221710531137,0.161736930401
262,2016-06-13,2016-06-20,LEG,2.50014767351e-05,0.0217489313332,0.0217732506843,0.179793767895
99,2016-06-13,2016-06-20,CB,0.00105550621542,0.021854981808,0.0191321088468,0.325369663337
60,2016-06-13,2016-06-20,BAX,0.00923150359805,0.0218675460569,0.0227638176084,-0.138129841787
248,2016-06-13,2016-06-20,KLAC,0.00496727437277,0.0219104363559,0.0223733669038,0.379178808749
370,2016-06-13,2016-06-20,RTN,0.0212277362369,0.0219175229713,0.0180248480256,-0.115112870995
399,2016-06-13,2016-06-20,SNA,-0.0149853697829,0.0219512783793,0.0220094766768,0.425973786516
268,2016-06-13,2016-06-20,LLTC,0.0203433835065,0.0220201764302,0.0221889968883,0.154668063867
380,2016-06-13,2016-06-20,ROP,-0.0250412671351,0.0220224729801,0.0218331727146,0.0223133243951
271,2016-06-13,2016-06-20,LOW,8.66941410984e-05,0.02202786387,0.0222112250718,0.375802951667
309,2016-06-13,2016-06-20,NDAQ,-0.00132203764963,0.0220353199789,0.020995482104,0.201362732605
461,2016-06-13,2016-06-20,VRSN,-0.0141757993134,0.0220509414147,0.0212453306403,0.00916636270493
452,2016-06-13,2016-06-20,UTX,-0.00202573320909,0.0220952998908,0.0228684792615,0.121594302775
16,2016-06-13,2016-06-20,APD,-0.0110821808178,0.0221363666358,0.0203509423358,0.178060710745
77,2016-06-13,2016-06-20,CHRW,-0.000741626316279,0.0221969166641,0.0214850019706,0.298498517184
130,2016-06-13,2016-06-20,DRI,0.0166143050072,0.0222078557011,0.021858003425,0.122314991208
467,2016-06-13,2016-06-20,VNO,-0.0011270015869,0.0222167179211,0.0237971388669,0.21910309559
463,2016-06-13,2016-06-20,VZ,0.0060157701681,0.0222757129251,0.0189353588063,0.355636450271
230,2016-06-13,2016-06-20,ITW,-0.0208840349344,0.0223210940903,0.0177438366436,0.111345674917
128,2016-06-13,2016-06-20,DVA,-0.00147472377343,0.0224279901832,0.0237504478956,0.38502499586
434,2016-06-13,2016-06-20,TMK,0.00907715397847,0.0225305773909,0.0228575438078,0.252946455493
34,2016-06-13,2016-06-20,AWK,0.00913343134288,0.0225443829204,0.0229557821171,0.331440005115
361,2016-06-13,2016-06-20,PEG,0.006436661185,0.0225495856805,0.021816316523,0.347109014728
359,2016-06-13,2016-06-20,PGR,-0.0129226025243,0.0226679086315,0.0217509482019,0.34893623861
186,2016-06-13,2016-06-20,FISV,0.00689168317012,0.0228093448236,0.0235649876736,0.104656429433
472,2016-06-13,2016-06-20,DIS,-0.0020794573747,0.022821021939,0.0235398957399,0.339506620468
201,2016-06-13,2016-06-20,GPC,-0.0107888032538,0.0228325618927,0.0209654324121,0.270170747683
78,2016-06-13,2016-06-20,CME,0.00845753866588,0.0228331247544,0.0230050190971,0.184952899753
162,2016-06-13,2016-06-20,EFX,-0.00391667318742,0.022843471547,0.0213414171454,0.0376295427442
197,2016-06-13,2016-06-20,GE,-0.00357680628289,0.0228523598569,0.0190823943999,0.304511459665
125,2016-06-13,2016-06-20,CCI,0.0340140140937,0.0229120705969,0.01629142808,-0.0233109168148
61,2016-06-13,2016-06-20,BDX,0.00505196622333,0.0229533556648,0.0175531899893,0.122026060589
440,2016-06-13,2016-06-20,FOXA,0.00727543873877,0.0229750035808,0.0242220646577,0.282313644605
207,2016-06-13,2016-06-20,HCA,-0.0082250120399,0.0230334498415,0.0231265328471,0.645380866503
233,2016-06-13,2016-06-20,INTC,0.00249550104964,0.0231314203396,0.0238574811833,0.372024097984
161,2016-06-13,2016-06-20,ETR,0.00630149308192,0.0232508762915,0.0236006648604,0.31708503706
471,2016-06-13,2016-06-20,WBA,0.028687961096,0.0233089539107,0.0236464064854,0.225792853333
79,2016-06-13,2016-06-20,CMS,0.0137269304624,0.0233684643575,0.0235490726303,0.215326326646
38,2016-06-13,2016-06-20,APH,-0.00979944744305,0.0233964737405,0.0240772629126,-0.0115753142117
259,2016-06-13,2016-06-20,LH,-0.0174467803791,0.0234284447775,0.020191569217,0.0814049342999
30,2016-06-13,2016-06-20,AEP,0.00568233850071,0.0234813578659,0.0226149697998,0.157532134768
146,2016-06-13,2016-06-20,DUK,0.011167095198,0.0235204811129,0.0237306623025,0.447146128953
129,2016-06-13,2016-06-20,DHR,-0.0108848149805,0.0235602524075,0.018965956944,0.248506759598
166,2016-06-13,2016-06-20,EL,-0.0038857914993,0.0236295103547,0.0175355870775,0.361212827022
73,2016-06-13,2016-06-20,CA,0.0137520249784,0.0236507737133,0.0232788557368,0.0147258620602
170,2016-06-13,2016-06-20,EXPD,0.00228423152799,0.0237248896052,0.0216881417937,0.344723178578
433,2016-06-13,2016-06-20,TWX,0.00681957817284,0.0237365146323,0.0260730048437,0.540933818438
381,2016-06-13,2016-06-20,ROST,-0.00540743200661,0.0237481438581,0.0224524764884,0.128291374795
124,2016-06-13,2016-06-20,COST,0.00536542490962,0.0237601747045,0.0238230010793,0.0821139547001
171,2016-06-13,2016-06-20,ESRX,0.00398125596821,0.023778120636,0.0244418418556,-0.00493784784679
118,2016-06-13,2016-06-20,CAG,0.00431266109793,0.0238408993565,0.0209947863259,0.014810827173
473,2016-06-13,2016-06-20,WM,0.00662302208582,0.0238929958967,0.0216666493085,0.235649689061
69,2016-06-13,2016-06-20,BXP,-0.00845338815076,0.0239646982186,0.024702391869,0.438637539975
486,2016-06-13,2016-06-20,XEL,0.00365536981138,0.0239981252737,0.0226427322847,0.271979861892
252,2016-06-13,2016-06-20,KMB,0.00114521760547,0.0240162999151,0.0242511227797,0.21842341145
15,2016-06-13,2016-06-20,A,0.0054238185587,0.0240393177784,0.0261237549749,0.174238954299
336,2016-06-13,2016-06-20,PNC,-0.00706370106798,0.0240797805995,0.0254521693194,0.39580483087
320,2016-06-13,2016-06-20,NI,0.0119795519867,0.0240960272894,0.0258890688602,0.100767863778
265,2016-06-13,2016-06-20,LVLT,-0.011809101155,0.0241691021113,0.0249305446324,0.475234724086
342,2016-06-13,2016-06-20,PYPL,-0.00260954345513,0.02419796634,0.0260145249027,0.327110142414
332,2016-06-13,2016-06-20,ORCL,6.91716203773e-05,0.0242279998324,0.024775245032,0.246085000344
417,2016-06-13,2016-06-20,TEL,-0.0146759754783,0.0242446555457,0.0256017024511,0.307396889939
474,2016-06-13,2016-06-20,WAT,-0.00845007295451,0.0242650930504,0.0226179992938,0.264047045985
340,2016-06-13,2016-06-20,PH,0.0021372118194,0.0243235605072,0.026304295878,0.270036491062
285,2016-06-13,2016-06-20,MKC,0.00470312097777,0.0243681845149,0.0237094946,0.0665016999516
59,2016-06-13,2016-06-20,BCR,0.0148235646059,0.0243875041515,0.0178179554242,-0.00663298607949
223,2016-06-13,2016-06-20,HON,-0.00663123275724,0.0244058101754,0.0184557963172,0.0502000182915
364,2016-06-13,2016-06-20,QCOM,0.0021474850412,0.024414838744,0.0254164621401,0.17962374627
453,2016-06-13,2016-06-20,UNH,0.00416833395555,0.0244284812911,0.0222137653841,0.0206169978578
466,2016-06-13,2016-06-20,V,-0.0270743800773,0.0244649183214,0.0253305683754,0.152849276007
167,2016-06-13,2016-06-20,ES,0.0122888713242,0.0245184674667,0.0224570172465,0.354228128416
335,2016-06-13,2016-06-20,PCG,0.0134238742445,0.024552105264,0.0227256555844,0.199788563145
479,2016-06-13,2016-06-20,WU,-0.00489947174286,0.0246579681573,0.024139442315,0.306945312504
385,2016-06-13,2016-06-20,SCG,0.00701210008468,0.0246893300458,0.024237214261,0.320685616297
122,2016-06-13,2016-06-20,STZ,0.00936819360701,0.0247047043485,0.0249408580197,0.175216576167
405,2016-06-13,2016-06-20,SWK,0.00609016271736,0.0247164331511,0.0219534287945,0.550082085874
445,2016-06-13,2016-06-20,USB,0.00677014287555,0.0247849746858,0.0265579485106,0.431800659356
42,2016-06-13,2016-06-20,AON,0.00428844106135,0.0248262177346,0.0202569739905,0.412116988837
407,2016-06-13,2016-06-20,SBUX,-0.0265629032706,0.0250115538735,0.0237820516138,0.252582444626
199,2016-06-13,2016-06-20,GIS,0.00456161227682,0.0250336536712,0.021912473001,0.206678360327
337,2016-06-13,2016-06-20,PPG,-0.00978770449573,0.0250419118643,0.0262159042003,0.232670348868
273,2016-06-13,2016-06-20,MTB,0.00547758744819,0.0251042827211,0.0281796673802,0.4122790942
54,2016-06-13,2016-06-20,AVY,-0.00106218328451,0.025183880799,0.0213995738338,0.194963513437
235,2016-06-13,2016-06-20,IPG,0.00163659216067,0.0252140850162,0.0212856176861,-0.000756739309974
330,2016-06-13,2016-06-20,OXY,0.011638704588,0.0252882975003,0.025531886312,0.281779071917
394,2016-06-13,2016-06-20,SHW,0.00378472880176,0.0252978806942,0.0257877434892,0.295148717509
436,2016-06-13,2016-06-20,TSCO,-0.0069758581722,0.0253017980572,0.0264957206193,0.239515865871
179,2016-06-13,2016-06-20,FAST,-0.00379207596674,0.0253249830909,0.0254328748068,0.171272051618
355,2016-06-13,2016-06-20,PX,-0.000235337472477,0.0254638939911,0.0259733625924,0.105487368951
163,2016-06-13,2016-06-20,EQIX,0.0375627806184,0.0255500254939,0.0262008624332,0.262864861248
168,2016-06-13,2016-06-20,EXC,-0.00308681231553,0.0255575602104,0.0262125548803,0.640152905832
491,2016-06-13,2016-06-20,YUM,0.00990864507375,0.0255600609596,0.0253242944551,0.681037363516
149,2016-06-13,2016-06-20,DD,0.00267793349656,0.0256512729638,0.0268433041558,0.186394428229
247,2016-06-13,2016-06-20,JNPR,0.00577884758331,0.0257147283195,0.0259066173501,0.231532524457
319,2016-06-13,2016-06-20,NLSN,0.0029705579205,0.0257287657616,0.0201848257896,0.256510466262
237,2016-06-13,2016-06-20,IFF,0.00557683210596,0.0257750355539,0.0240627761743,0.195571290681
492,2016-06-13,2016-06-20,ZBH,0.00810609544114,0.0258426959812,0.025104038208,0.506754045476
144,2016-06-13,2016-06-20,DOW,-0.00164866010392,0.0258617130102,0.0242500943528,0.541202276058
345,2016-06-13,2016-06-20,PBCT,-0.0149804619176,0.0258678039822,0.0263691317621,0.401608757137
416,2016-06-13,2016-06-20,TROW,-0.00659323674232,0.0259469628316,0.0274888515639,0.392683320855
470,2016-06-13,2016-06-20,WMT,0.0075990703475,0.0259556715137,0.0266524869276,0.269166882468
111,2016-06-13,2016-06-20,KO,-0.00616782378919,0.0260649375466,0.0190294541272,0.353821418684
475,2016-06-13,2016-06-20,WFC,-0.011155277037,0.0261069540941,0.0273772448783,0.494349066943
403,2016-06-13,2016-06-20,SE,0.0159165513979,0.0261091510056,0.0264910271375,0.111522631664
3,2016-06-13,2016-06-20,AFL,0.00355405985975,0.0261221265392,0.0193281120598,0.366459373912
435,2016-06-13,2016-06-20,TSS,0.0030080892431,0.0261246716986,0.0237595128297,0.285660122945
234,2016-06-13,2016-06-20,ICE,0.0149235535888,0.0261952190699,0.0256697017024,0.123920261981
415,2016-06-13,2016-06-20,SYY,0.00449813216344,0.0262503634936,0.0228670553929,0.430546769958
153,2016-06-13,2016-06-20,EMN,-0.0111486383979,0.0263191059133,0.0292076119354,0.517535253419
430,2016-06-13,2016-06-20,TMO,0.00241321832638,0.0263391006415,0.0229921355566,0.319579260427
236,2016-06-13,2016-06-20,IBM,0.00588290678502,0.0263808424138,0.0264817851215,0.280274145846
469,2016-06-13,2016-06-20,WEC,0.00917244051697,0.0263937913316,0.0226189891962,0.330640800625
57,2016-06-13,2016-06-20,BLL,-0.0128752324707,0.0264041828739,0.0246881770516,0.147443369258
93,2016-06-13,2016-06-20,CNP,0.0125884771414,0.0264738800437,0.0264429522033,0.200315322842
156,2016-06-13,2016-06-20,EIX,0.00738888951395,0.0264784116305,0.0245151422367,0.354638470308
396,2016-06-13,2016-06-20,SPG,0.0152565718908,0.0264854793331,0.024857236036,0.428290756149
298,2016-06-13,2016-06-20,MDLZ,-0.0124453168415,0.0265250415185,0.0246132220108,0.30156550113
432,2016-05-17,2016-05-24,TWC,0.00570154711551,0.0266481887064,0.0241223834331,0.330115643386
228,2016-06-13,2016-06-20,JBHT,-0.00113899604771,0.0266976947993,0.0270514061186,0.470225635244
274,2016-06-13,2016-06-20,MAC,-0.00014858508795,0.0267113757771,0.0266795433741,0.0652817942888
378,2016-06-13,2016-06-20,ROK,0.0114576844649,0.0268119316708,0.0286517093872,0.414091435053
105,2016-06-13,2016-06-20,CSCO,0.0115377242271,0.0268119991662,0.0269373895716,0.40782139985
246,2016-06-13,2016-06-20,JCI,0.0261575043518,0.0268566898296,0.031613123494,0.203400290335
462,2016-06-13,2016-06-20,VRSK,0.0143394540389,0.0269250101353,0.024296429231,0.726548376662
25,2016-06-13,2016-06-20,GOOG,-0.00313722110934,0.0269323385862,0.0271720692595,0.138185395793
5,2016-06-13,2016-06-20,AME,-0.041465967282,0.0269670309122,0.028345868331,0.331375712612
490,2016-06-13,2016-06-20,YHOO,0.00427685694475,0.0269858695528,0.0301443943026,0.615933337695
101,2016-06-13,2016-06-20,CI,-0.0275932690261,0.0269952849204,0.0272193283924,0.250168619525
347,2016-06-13,2016-06-20,PKI,0.00436714026784,0.0270229501275,0.0248272674459,0.199430976509
28,2016-06-13,2016-06-20,AEE,0.00668653426372,0.0271949846346,0.0250872501706,0.304197387797
349,2016-06-13,2016-06-20,PFE,0.00650314703144,0.0272860845426,0.0267015984588,0.0436263338165
134,2016-06-13,2016-06-20,XRAY,0.0426660831246,0.0272893489176,0.0255632119188,0.129752304471
195,2016-06-13,2016-06-20,GRMN,0.0178285788682,0.0273423510324,0.0274181494745,-0.0476414269551
331,2016-06-13,2016-06-20,OMC,-0.0155575174345,0.0274031171322,0.0153765124483,0.464193728288
37,2016-06-13,2016-06-20,AMGN,-0.00992268686525,0.0274218289741,0.0278093884644,0.23898656418
40,2016-06-13,2016-06-20,ADI,0.00407217314359,0.0275709698947,0.028847898166,0.496674747718
127,2016-06-13,2016-06-20,DTE,0.015211952731,0.0276440277085,0.0242511194978,0.341799343494
214,2016-06-13,2016-06-20,HRS,0.0147728235606,0.0277445499076,0.0273193234545,0.476123832823
95,2016-06-13,2016-06-20,CERN,0.00413114450014,0.0277672705,0.0287508517018,0.207668119148
31,2016-06-13,2016-06-20,AXP,-0.024376606926,0.0277940454049,0.0280140274585,0.155884573953
53,2016-06-13,2016-06-20,AVB,-0.0121782046263,0.0278725771678,0.0281829755927,0.220337144191
9,2016-06-13,2016-06-20,ACN,0.0108259287129,0.027894623329,0.0248707776954,0.271045183805
386,2016-06-13,2016-06-20,SLG,0.000639758651427,0.0279841791871,0.0292006808918,0.17258179999
454,2016-06-13,2016-06-20,UHS,-0.0117211139421,0.0279947707837,0.0280818973244,0.426263840657
154,2016-06-13,2016-06-20,ETN,-0.00687713707205,0.0280094172234,0.029325021576,0.195989458212
175,2016-06-13,2016-06-20,FLIR,0.0167159243385,0.0280298725615,0.0293134563293,0.30147493408
137,2016-06-13,2016-06-20,DFS,-0.00285693188942,0.028060289788,0.0307428199062,0.26447365656
33,2016-06-13,2016-06-20,AMT,0.0150337164636,0.0280757025945,0.0264366012203,0.505069038163
232,2016-06-13,2016-06-20,IR,-0.00517047828522,0.0281293031194,0.0302488194235,0.466569148686
488,2016-06-13,2016-06-20,XLNX,-0.00799317471185,0.0281474022329,0.0299294354428,0.367874263654
85,2016-06-13,2016-06-20,CPB,-0.00164937011416,0.0282275028432,0.028217244387,0.0773667857872
457,2016-06-13,2016-06-20,VFC,0.0047893913186,0.0283038903712,0.0292200737426,0.333689654721
338,2016-06-13,2016-06-20,PPL,0.00093538048716,0.0283299063246,0.0239378910827,0.353217927118
71,2016-06-13,2016-06-20,BMY,0.00636988042932,0.0284467140604,0.0272234986353,0.141420577464
398,2016-06-13,2016-06-20,SJM,0.0578922017295,0.0284761624503,0.0256811686212,0.0115487386343
24,2016-06-13,2016-06-20,GOOGL,-0.0119584670987,0.0284943857603,0.0280001893955,-0.103830662149
216,2016-06-13,2016-06-20,HAS,0.000133469511014,0.0285777992762,0.0270382520931,0.362688180695
341,2016-06-13,2016-06-20,PDCO,0.0252491554079,0.028692833604,0.0286292466698,0.0294995352754
7,2016-06-13,2016-06-20,ABBV,-0.0142222045829,0.0287098773593,0.029413531201,0.358903479132
121,2016-06-13,2016-06-20,ED,0.00917774667459,0.0290149955871,0.0257259996098,0.424061967348
35,2016-06-13,2016-06-20,AMP,-2.45165405343e-05,0.0290375596458,0.0319663239203,0.392981443416
443,2016-06-13,2016-06-20,TSN,-0.00441790464588,0.0290539872445,0.0280619294525,-0.0557417042331
372,2016-06-13,2016-06-20,RHT,-0.0014942722785,0.0291825012311,0.0286210865674,0.169122244581
67,2016-06-13,2016-06-20,BA,-9.79732187808e-05,0.0291898906065,0.0316858496474,0.516939060416
113,2016-06-13,2016-06-20,CTSH,0.00905470893553,0.0292500759946,0.0299646526638,0.126318704325
414,2016-06-13,2016-06-20,SYF,0.00617604606173,0.0292502290909,0.0314008221033,0.400803180932
284,2016-06-13,2016-06-20,MAT,-0.00434211634183,0.0292537136654,0.0277099858768,-0.163725151426
182,2016-06-13,2016-06-20,FIS,0.0127731775895,0.029310651784,0.0274852043256,0.130967188166
243,2016-06-13,2016-06-20,JPM,-0.00222357453797,0.0293840997399,0.0305242374636,0.411920004893
41,2016-06-13,2016-06-20,ANTM,-0.00548442428482,0.0294620500494,0.0296337645582,0.103058803027
55,2016-06-13,2016-06-20,BBT,-0.00318491125237,0.0295530734748,0.0314605940043,0.268412714894
6,2016-06-13,2016-06-20,T,0.00710826559084,0.0296180698579,0.0148679332208,0.481560414618
185,2016-06-13,2016-06-20,FE,0.00331184229888,0.0296363366684,0.0297720962869,0.0977435652068
297,2016-06-13,2016-06-20,TAP,-0.00879517543889,0.029685051014,0.0264855333026,0.272784805662
89,2016-06-13,2016-06-20,CCL,-0.0154390805112,0.029717143291,0.0311165888624,0.388288949447
87,2016-06-13,2016-06-20,CAH,-0.00101832744402,0.0298912431453,0.0305212013685,0.223426960612
293,2016-06-13,2016-06-20,MCHP,0.0134030650439,0.0299493772611,0.0282245646074,0.466355701434
384,2016-06-13,2016-06-20,SPGI,0.0175626987987,0.0299653118814,0.0288036500597,0.3898407958
13,2016-06-13,2016-06-20,AET,0.0149169563295,0.0300837504879,0.0302819002614,0.140154327345
425,2016-06-13,2016-06-20,TXT,-0.0202834986547,0.0303580260173,0.0321334812226,0.264998867334
198,2016-06-13,2016-06-20,GGP,0.00610069321239,0.0304253479345,0.0313653529611,0.42145997736
12,2016-06-13,2016-06-20,AAP,0.0129065862216,0.0305558707785,0.0309547042116,0.187464665237
65,2016-06-13,2016-06-20,BLK,-0.00333549793455,0.0305704914815,0.0306458886993,0.402472211647
424,2016-06-13,2016-06-20,TXN,0.00567309197634,0.0305785763649,0.0218551651776,0.260913704164
363,2016-06-13,2016-06-20,PHM,-0.0035165966605,0.0306011297988,0.0301765746716,0.0347555537671
295,2016-06-13,2016-06-20,MSFT,-0.0232948049219,0.0306165156808,0.0312374549666,0.345208252863
392,2016-06-13,2016-06-20,SEE,-0.00762000759056,0.0306392662263,0.0307061225219,0.174771528717
296,2016-06-13,2016-06-20,MHK,-0.00277010631184,0.0306641125263,0.0302097644097,0.520711688586
256,2016-06-13,2016-06-20,KR,-0.0201284095767,0.0306983424409,0.0285286345898,-0.127942276058
80,2016-06-13,2016-06-20,CSRA,-0.0415233918972,0.0308001922594,0.0348717203077,0.676301716399
204,2016-06-13,2016-06-20,GS,-0.0100810891666,0.0308768541865,0.0314862827282,0.249950480715
279,2016-06-13,2016-06-20,MAR,-0.00286336913374,0.030892836166,0.0305866214125,0.0241021515801
165,2016-06-13,2016-06-20,ESS,0.00717458790433,0.0309389478316,0.0307614370329,-0.0352565627266
110,2016-06-13,2016-06-20,COH,0.00957154408247,0.0309465640798,0.0315491858266,0.221939119093
253,2016-06-13,2016-06-20,KIM,0.0110974314957,0.0309789477404,0.0277570456261,0.271510038154
97,2016-06-13,2016-06-20,CVX,0.0255808432189,0.0310003809561,0.0295082210169,0.0560624823778
485,2016-06-13,2016-06-20,XL,-0.0460739918376,0.0310321156829,0.0319834035249,0.337622329918
44,2016-06-13,2016-06-20,AIV,0.0109862471711,0.0310415892008,0.0303298192373,0.273511825588
258,2016-06-13,2016-06-20,LLL,0.0227851760783,0.0311945878084,0.025814000741,-0.278956680867
272,2016-06-13,2016-06-20,LYB,-0.0168316487833,0.0312168026437,0.032411666827,0.264140310952
48,2016-06-13,2016-06-20,AIZ,0.0123074388977,0.0312410814847,0.0296079313074,0.43949289688
356,2016-06-13,2016-06-20,PFG,-0.0038575576553,0.0313004189923,0.0340885239328,0.36547262531
494,2016-06-13,2016-06-20,ZTS,-0.0237731411953,0.031439692929,0.0311123417252,0.0322796265517
307,2016-06-13,2016-06-20,NKE,-0.0118992354051,0.0314929694047,0.0287408502275,0.0863834167233
249,2016-06-13,2016-06-20,KSU,0.0214944792555,0.0315363270595,0.0335793088933,0.413777485101
133,2016-06-13,2016-06-20,DAL,-0.0491859361772,0.031664303927,0.0323799710142,0.10294325123
159,2016-06-13,2016-06-20,EMR,-0.0110690222253,0.0317685463741,0.0316172580072,-0.0638432044959
352,2016-06-13,2016-06-20,PNW,0.00987080420546,0.0317714867534,0.0248461978202,0.245099846341
350,2016-06-13,2016-06-20,PM,0.00563037300575,0.0317945852408,0.0204229997792,0.408333667698
147,2016-06-13,2016-06-20,DNB,0.0118923018467,0.0318076371776,0.0335126891009,0.166965902067
81,2016-06-13,2016-06-20,CSX,0.00329426882297,0.031905949852,0.0333558049003,0.258760214789
409,2016-06-13,2016-06-20,STT,0.010935579007,0.0320851420351,0.0333902832266,0.457570967879
