,Date,Future_Date,Symbol,Future_Price($),Test_Error(MAPE),Benchmark_Last_Price(MAPE),Test_Correlation
117,2016-06-13,2016-06-20,CPGX,24.9610347854,0.00270943235063,0.00112833017692,0.339218476492
422,2016-06-13,2016-06-20,TE,26.7010503559,0.0131410590976,0.00198943408617,0.14786996165
4,2016-06-13,2016-06-20,GAS,62.0841518974,0.0152184546174,0.00344127198855,0.601352873468
147,2016-06-13,2016-06-20,DPS,87.8239694243,0.0154905530723,0.0155704719705,0.396616617343
198,2016-06-13,2016-06-20,GD,138.415022873,0.0159965921886,0.0157268666627,0.849574096824
130,2016-06-13,2016-06-20,DVA,75.8950524378,0.0162289686326,0.0157730431394,0.923590731841
111,2016-06-13,2016-06-20,CLX,123.095753537,0.0165672229796,0.0148448269857,0.375094814673
285,2016-06-13,2016-06-20,MA,94.0983125555,0.0167233577627,0.0167540969989,0.87365756802
464,2016-06-13,2016-06-20,VAR,84.3392234375,0.0171982203129,0.017143172003,0.715754370425
381,2016-06-13,2016-06-20,COL,86.4977065697,0.0172120634254,0.0143617383986,0.381540089358
217,2016-06-13,2016-06-20,HIG,43.5743091669,0.0173462417022,0.0172207959785,0.66991270127
24,2016-06-13,2016-06-20,ALL,66.1308116667,0.0177579981034,0.0128499454302,0.582887643431
118,2016-06-13,2016-06-20,CMCSA,61.0691185327,0.0179336122464,0.0147488815375,0.77701165086
344,2016-06-13,2016-06-20,PYPL,36.4882873622,0.0179838745166,0.0208657069298,0.366914525089
345,2016-06-13,2016-06-20,PAYX,52.302113939,0.0179934631002,0.0136300699329,0.4565768428
390,2016-06-13,2016-06-20,SNDK,76.0551694379,0.0185103199309,0.0119402477514,0.61824383223
382,2016-06-13,2016-06-20,ROP,170.557162286,0.018547260806,0.0169300272016,0.474204049355
476,2016-06-13,2016-06-20,WBA,82.8111892481,0.0190101633425,0.0169883025823,0.590443053981
82,2016-06-13,2016-06-20,CSRA,25.0603604222,0.0193324990376,0.0264504756177,0.426880126029
488,2016-06-13,2016-06-20,WLTW,124.034867254,0.0193494104775,0.0106249111114,0.0221478222668
267,2016-06-13,2016-06-20,LVLT,51.9422763232,0.0193903858159,0.0207400203148,0.624634474458
84,2016-06-13,2016-06-20,CVS,96.2393650944,0.0194719359408,0.0162895842885,0.66737103082
241,2016-06-13,2016-06-20,INTU,103.357444984,0.0195290449436,0.0138704551621,0.745702305602
403,2016-06-13,2016-06-20,SNA,154.23381993,0.0195292187541,0.0167059659876,0.72098617821
157,2016-06-13,2016-06-20,ECL,115.822363647,0.0195952923044,0.0159302701608,0.929471442066
411,2016-06-13,2016-06-20,SBUX,55.7175799496,0.0197829487548,0.0184253198607,0.707763324467
126,2016-06-13,2016-06-20,COST,154.689567421,0.0197890087948,0.0181644312039,0.466495560814
360,2016-06-13,2016-06-20,PG,80.654426946,0.0197924270993,0.013684892774,-0.00197318219465
261,2016-06-13,2016-06-20,LH,123.085948789,0.0200856466887,0.0150772107897,0.94304386905
300,2016-06-13,2016-06-20,MDLZ,44.4463834283,0.0200889781202,0.0213151832493,0.828471256289
220,2016-06-13,2016-06-20,HSY,93.7983233567,0.0201264436159,0.0171013622736,-0.00679880885343
439,2016-06-13,2016-06-20,TSS,50.683399603,0.0201886981663,0.0191993771993,0.956077191997
438,2016-06-13,2016-06-20,TMK,60.0464931335,0.0202788822569,0.0184540513597,0.9305603236
472,2016-06-13,2016-06-20,VNO,95.2418707061,0.0204617611622,0.0178087557188,0.793904339372
58,2016-06-13,2016-06-20,BLL,71.2872650675,0.0205146971404,0.0187349006106,0.771779231512
455,2016-06-13,2016-06-20,UPS,102.241263938,0.020571362261,0.0126760487046,0.772119464677
276,2016-06-13,2016-06-20,MAC,76.2173786847,0.0206561780122,0.0194165935353,0.0865060490132
199,2016-06-13,2016-06-20,GE,29.8717011846,0.0208690638176,0.014907130576,0.403365973558
466,2016-06-13,2016-06-20,VRSN,83.475462793,0.0209639178827,0.0144616779673,0.374719781088
42,2016-06-13,2016-06-20,ANTM,128.668662596,0.0210197011783,0.0222184190697,0.715431817539
172,2016-06-13,2016-06-20,EXPD,47.5121103419,0.0210395717434,0.0181003198592,0.480655601291
268,2016-06-13,2016-06-20,LLY,73.0406631725,0.0211463892887,0.0175310635697,0.661797859678
421,2016-06-13,2016-06-20,TEL,60.9000274603,0.0211684273399,0.020851738581,0.529589941054
209,2016-06-13,2016-06-20,HCA,77.9657834259,0.0212126408153,0.0191163623433,0.868104402049
39,2016-06-13,2016-06-20,APH,57.6482783685,0.0212205223735,0.0182305855086,0.698806636629
471,2016-06-13,2016-06-20,V,77.4161807097,0.0212964668787,0.0209938625042,0.803637663953
173,2016-06-13,2016-06-20,ESRX,76.1176223119,0.0213562500196,0.0204508204264,0.775816854321
33,2016-06-13,2016-06-20,AIG,53.6812535576,0.021366086998,0.0177095886271,0.828253590966
152,2016-06-13,2016-06-20,EMC,27.0856448889,0.0214416665334,0.014801179464,0.812710045806
5,2016-06-13,2016-06-20,AME,47.4556120943,0.0214445077822,0.0213323781144,0.574187150412
13,2016-06-13,2016-06-20,AET,115.026899054,0.0215084864738,0.023494286201,0.56165093361
38,2016-06-13,2016-06-20,AMGN,151.396619686,0.0216496517489,0.0233919291486,0.788172986836
334,2016-06-13,2016-06-20,ORCL,38.270214263,0.0217702627231,0.0190960545157,0.723460375209
115,2016-06-13,2016-06-20,CTSH,61.0099728119,0.0218778918855,0.0234088621464,0.592110771092
106,2016-06-13,2016-06-20,CTAS,89.5069112241,0.0220045850409,0.0138084963708,0.672745830358
26,2016-06-13,2016-06-20,GOOG,648.594667261,0.0220229826601,0.0208992105379,0.518690396945
272,2016-06-13,2016-06-20,L,39.2783979697,0.0220492223374,0.0170984490734,0.800294763679
462,2016-06-13,2016-06-20,VFC,62.3365957173,0.0220557217275,0.0209144750874,0.475962190757
97,2016-06-13,2016-06-20,CERN,55.8116610695,0.0220767256221,0.0236790234946,0.746634782476
249,2016-06-13,2016-06-20,JNPR,22.8082333698,0.0221369426857,0.0201922610334,0.84508345098
449,2016-06-13,2016-06-20,USB,41.5794868407,0.0222649455726,0.0213057743262,0.642631353378
494,2016-06-13,2016-06-20,XLNX,46.1946665272,0.0222827510641,0.0200134466167,0.628129204051
298,2016-06-13,2016-06-20,MHK,191.829415227,0.0223987353197,0.0210324402842,0.782644446568
338,2016-06-13,2016-06-20,PNC,84.6060720551,0.0224017781576,0.0201294453695,0.574420675323
206,2016-06-13,2016-06-20,GS,154.859631128,0.0225114776045,0.025709529969,0.525985683067
442,2016-06-13,2016-06-20,TRV,110.143189058,0.0225665086625,0.01593291749,0.645875894038
210,2016-06-13,2016-06-20,HCP,35.2443955895,0.0225967674867,0.0291720691091,0.752617130827
423,2016-06-13,2016-06-20,TGNA,23.3941984654,0.0227846805103,0.0223783968651,0.658096092125
235,2016-06-13,2016-06-20,INTC,31.7125397341,0.0229046851787,0.0179693869385,0.684775349744
17,2016-06-13,2016-06-20,ARG,130.075041963,0.023007929968,0.00136593631467,-0.21321039672
107,2016-06-13,2016-06-20,CSCO,28.0804466185,0.0230970045961,0.0199951024038,0.655050735784
365,2016-06-13,2016-06-20,PHM,18.7149591124,0.023171936971,0.0247337213414,0.568683806129
25,2016-06-13,2016-06-20,GOOGL,660.994405869,0.0231957255409,0.0209637250147,0.501225275263
151,2016-06-13,2016-06-20,DD,65.4160031969,0.0232226869912,0.0205909520183,0.652274767039
12,2016-06-13,2016-06-20,AAP,153.820945231,0.023250864554,0.025461292385,0.603634034448
216,2016-06-13,2016-06-20,HRS,80.2203036945,0.023410685586,0.0212770264479,0.307567271781
437,2016-06-13,2016-06-20,TWX,71.9428657626,0.0234253561204,0.0217624060173,0.827568788983
444,2016-06-13,2016-06-20,FOXA,28.7469996893,0.0234411264067,0.02056028693,0.802006407291
374,2016-06-13,2016-06-20,RHT,77.6709001168,0.023480021792,0.0232278238084,0.799358167884
445,2016-06-13,2016-06-20,FOX,29.0349071206,0.0235364387987,0.019295084707,0.792538837314
429,2016-06-13,2016-06-20,TXT,37.8096388659,0.023625174625,0.0243056735138,0.843098837327
479,2016-06-13,2016-06-20,WAT,130.590155391,0.0237101494867,0.0176614980474,0.818321614883
251,2016-06-13,2016-06-20,KSU,89.407365107,0.023766747587,0.0263425494236,0.764031346024
292,2016-06-13,2016-06-20,MRK,55.0925628919,0.0238183429553,0.016472983029,0.837250096327
91,2016-06-13,2016-06-20,CCL,46.2182654862,0.0239070016334,0.0225357657782,0.4631060851
343,2016-06-13,2016-06-20,PDCO,48.5429976292,0.0240053341475,0.0217669255637,0.728599661313
491,2016-06-13,2016-06-20,XL,32.7926905427,0.0240442076292,0.0241373575391,0.626061243196
480,2016-06-13,2016-06-20,WFC,47.3345689748,0.0240478239879,0.0226136933384,0.277110535495
459,2016-06-13,2016-06-20,UHS,133.712630814,0.0241577793508,0.0209206847547,0.94849577239
208,2016-06-13,2016-06-20,GWW,215.819006714,0.0241729521168,0.0185787401567,0.576242356391
51,2016-06-13,2016-06-20,AZO,704.059702934,0.0241909080314,0.01293823454,0.458689495675
230,2016-06-13,2016-06-20,JBHT,79.669255407,0.0243185995005,0.022961583079,0.695999007704
330,2016-06-13,2016-06-20,ORLY,247.849793829,0.0243222380894,0.0166621354802,0.336089739584
131,2016-06-13,2016-06-20,DHR,93.2138399751,0.0243270595515,0.0147137359371,0.856951195983
132,2016-06-13,2016-06-20,DRI,66.3390499096,0.0243479776453,0.0174855435097,0.644282768906
297,2016-06-13,2016-06-20,MSFT,47.0653139742,0.0243591048053,0.0233173658574,0.550726439282
477,2016-06-13,2016-06-20,DIS,97.2273250897,0.024621553147,0.0185762092252,0.574414282848
484,2016-06-13,2016-06-20,WU,18.6617565266,0.0248182400918,0.0186689962211,0.629318711706
348,2016-06-13,2016-06-20,PEP,97.8217724106,0.0249957552095,0.0143598843224,0.674687042348
89,2016-06-13,2016-06-20,CAH,78.1625595935,0.0250035572952,0.0217401786534,0.479595938136
16,2016-06-13,2016-06-20,APD,142.103466322,0.0250181363076,0.0154447675262,0.824928277037
224,2016-06-13,2016-06-20,HD,125.448435446,0.0250587259685,0.0136443102454,0.766353153547
144,2016-06-13,2016-06-20,D,70.5034767523,0.0250588565115,0.0183587633082,0.436449977703
500,2016-06-13,2016-06-20,ZTS,46.4723193632,0.0250777096587,0.0243990729158,0.888714243835
349,2016-06-13,2016-06-20,PKI,51.967530266,0.0250859679645,0.0176633313631,0.899386136952
236,2016-06-13,2016-06-20,ICE,248.661803352,0.0252121466687,0.0187509665608,0.862811573886
396,2016-06-13,2016-06-20,SEE,47.8766600481,0.0252775752868,0.0223744703661,0.658133091797
435,2016-06-13,2016-06-20,TIF,66.2909063384,0.0252989138067,0.0241391734876,0.82539315537
79,2016-06-13,2016-06-20,CHRW,70.3683997385,0.0253235012246,0.0170211838532,0.468550765783
402,2016-06-13,2016-06-20,SJM,107.532540053,0.0253262619189,0.0174083365646,0.134098268924
270,2016-06-13,2016-06-20,LLTC,45.7475838649,0.0254252946241,0.0170128602951,0.770407094131
275,2016-06-13,2016-06-20,MTB,116.97167755,0.025445519833,0.0215638222256,0.779071348016
357,2016-06-13,2016-06-20,PX,110.779980084,0.0254540656357,0.021240217223,0.778222381784
245,2016-06-13,2016-06-20,JPM,63.1681109551,0.0254674103397,0.0226553602992,0.764498748759
21,2016-06-13,2016-06-20,ALLE,64.3448801743,0.0254815816679,0.0123768258405,0.651173243448
258,2016-06-13,2016-06-20,KR,36.5971444472,0.0254889044288,0.022081624567,0.55898798784
265,2016-06-13,2016-06-20,LEN,46.584866569,0.0255331516993,0.0246173736104,0.668493867255
229,2016-06-13,2016-06-20,HUM,178.405283883,0.0256120101426,0.0269629341138,0.521764594329
227,2016-06-13,2016-06-20,DHI,30.597135264,0.0256479477225,0.0249269406132,0.800053168146
496,2016-06-13,2016-06-20,YHOO,36.4264903086,0.025702153993,0.0227912475204,0.852465515216
136,2016-06-13,2016-06-20,XRAY,53.9890434278,0.0258554560423,0.0200381539365,0.134756527335
85,2016-06-13,2016-06-20,CVC,32.2161816618,0.0259981165224,0.00760505641174,0.837593129637
420,2016-06-13,2016-06-20,TROW,70.400271751,0.0261190675546,0.0218367362609,0.629783754458
167,2016-06-13,2016-06-20,ESS,208.290842079,0.0261436985403,0.0241876504513,0.502711756849
103,2016-06-13,2016-06-20,CI,128.889515241,0.0261840269772,0.022356153323,0.707863034409
457,2016-06-13,2016-06-20,UTX,99.2269412319,0.0262412900907,0.0161883271345,0.738235141634
182,2016-06-13,2016-06-20,FDX,161.134963816,0.0262939028616,0.0230548264897,0.845042132835
52,2016-06-13,2016-06-20,ADSK,56.1220391132,0.0264624340018,0.0254787578815,0.693038618626
347,2016-06-13,2016-06-20,PBCT,15.6811155062,0.0265177981802,0.0212257522538,0.461810424348
397,2016-06-13,2016-06-20,SRE,105.815152492,0.0265886130447,0.0173459958893,0.814723410271
191,2016-06-13,2016-06-20,FL,54.3047573398,0.0265897820757,0.0254110880776,0.849422530584
264,2016-06-13,2016-06-20,LEG,47.8480166963,0.0265986594534,0.0171164315506,0.79381260578
135,2016-06-13,2016-06-20,DAL,40.94358917,0.0266322220182,0.026236009884,0.833464009135
200,2016-06-13,2016-06-20,GGP,27.2700818376,0.0268137215637,0.0247983637576,0.612026525283
498,2016-06-13,2016-06-20,ZBH,115.311219625,0.0268190175851,0.0197020542573,0.972867828996
351,2016-06-13,2016-06-20,PFE,33.5696253641,0.026876880738,0.0183286168654,0.906282348478
10,2016-06-13,2016-06-20,ATVI,37.4261082259,0.0269333714255,0.0286676668553,0.904847101019
53,2016-06-13,2016-06-20,ADP,83.4068767086,0.0270201384788,0.0116440252308,0.629383715722
273,2016-06-13,2016-06-20,LOW,73.5989785042,0.0271002152791,0.0166912467508,0.858147615969
177,2016-06-13,2016-06-20,FLIR,30.9461041448,0.0271252941668,0.0217056452918,0.601753183249
192,2016-06-13,2016-06-20,F,13.1344346857,0.0271273551651,0.026079364792,0.300464466433
18,2016-06-13,2016-06-20,AKAM,52.888482507,0.0275456358266,0.0246277658489,0.586505148453
319,2016-06-13,2016-06-20,NWSA,11.5226822388,0.0277640972065,0.0270876007951,0.744205189429
405,2016-06-13,2016-06-20,LUV,42.4262043948,0.0278299562169,0.0258384371618,0.643227718595
281,2016-06-13,2016-06-20,MAR,65.6779481491,0.0279698972885,0.0247499184661,0.204096139595
309,2016-06-13,2016-06-20,NKE,56.1608410314,0.0281097781586,0.0231238992445,0.617470551475
223,2016-06-13,2016-06-20,HOLX,34.1400272914,0.0281558177384,0.0239328077856,0.301370377285
71,2016-06-13,2016-06-20,BXP,124.867826376,0.0283287740948,0.0180991626933,0.837610015248
467,2016-06-13,2016-06-20,VRSK,76.3788939593,0.0284271459953,0.0164755120122,0.721509657887
146,2016-06-13,2016-06-20,DOW,50.5839508491,0.0284595965898,0.0191906814891,0.678200503136
207,2016-06-13,2016-06-20,GT,26.9639796666,0.0284599594784,0.0290134013332,0.857108222719
23,2016-06-13,2016-06-20,ADS,217.550155594,0.0285805527894,0.0239943621639,0.493939036764
463,2016-06-13,2016-06-20,VLO,50.0906920036,0.0286379755475,0.0274879185621,0.851509022984
372,2016-06-13,2016-06-20,RTN,112.529497825,0.0286654975143,0.013951924371,0.647835273404
404,2016-06-13,2016-06-20,SO,47.102574954,0.0289164405785,0.0176093759054,0.264791580558
76,2016-06-13,2016-06-20,CBG,29.8535082827,0.0289368891532,0.028205085706,0.761824240025
67,2016-06-13,2016-06-20,BLK,337.739484117,0.029101412891,0.0228617115027,0.817375604408
64,2016-06-13,2016-06-20,BBBY,46.4361344475,0.0291134055244,0.0291475723818,0.787478269907
54,2016-06-13,2016-06-20,AVB,169.337920267,0.0291501989925,0.0223062353877,0.580745523453
37,2016-06-13,2016-06-20,ABC,76.5214768016,0.0291694509037,0.0266592731735,0.813116518834
320,2016-06-13,2016-06-20,NWS,11.9782756989,0.0291849649547,0.0261440621844,0.676965518241
418,2016-06-13,2016-06-20,SYF,30.4623941744,0.0292319953569,0.0265734617723,0.556735350079
155,2016-06-13,2016-06-20,EMN,71.4864824443,0.0292970218606,0.0215908865418,0.856199731577
489,2016-06-13,2016-06-20,WYN,65.7274077122,0.0293461394531,0.0261095710676,0.778445029516
139,2016-06-13,2016-06-20,DFS,54.8700009045,0.0294141836663,0.0223452178265,0.914694746246
369,2016-06-13,2016-06-20,DGX,72.6854596831,0.02971802127,0.013440397838,0.956753287309
425,2016-06-13,2016-06-20,TGT,65.3245851919,0.0297542395317,0.0261116008134,0.85220490597
237,2016-06-13,2016-06-20,IPG,22.4224046833,0.029830108526,0.0149563978205,0.898922744723
430,2016-06-13,2016-06-20,BK,40.9219585784,0.0299404961321,0.0259461459831,0.819832169334
41,2016-06-13,2016-06-20,ADI,54.9808680179,0.0301058544364,0.0209887595142,0.64895381737
453,2016-06-13,2016-06-20,UNP,87.3549866692,0.0301178981492,0.0280563443405,0.551930969827
234,2016-06-13,2016-06-20,IR,62.5051819548,0.0303021378568,0.0228810332384,0.900394234022
203,2016-06-13,2016-06-20,GPC,91.8717048994,0.03033813257,0.0174816275262,0.565523795399
440,2016-06-13,2016-06-20,TSCO,89.0880123269,0.0303814396824,0.0204314916531,0.714680914787
69,2016-06-13,2016-06-20,BA,125.857639487,0.0304365571859,0.0262320003033,0.663062056603
93,2016-06-13,2016-06-20,CELG,101.319600228,0.0304631911903,0.0260258889787,0.393253957047
332,2016-06-13,2016-06-20,OXY,73.1474485114,0.0305730665538,0.0204224879613,0.834492261275
384,2016-06-13,2016-06-20,RCL,72.2442637204,0.0306467746818,0.0331373964045,0.409328435223
