Date,Open_NVDA,High_NVDA,Low_NVDA,Close_NVDA,Volume_NVDA,AdjClose_NVDA
2015-06-05,22.02,22.360001,21.790001,22.26,7833000,21.945729
2015-06-08,22.190001,22.34,21.5,21.75,8570300,21.442929
2015-06-09,21.77,22.02,21.73,21.860001,6422200,21.551377
2015-06-10,21.6,21.74,21.35,21.469999,13236500,21.166882
2015-06-11,21.469999,21.85,21.469999,21.700001,7076300,21.393636
2015-06-12,21.559999,21.690001,21.059999,21.110001,8093200,20.811966
2015-06-15,21.0,21.17,20.84,21.07,7663700,20.772529
2015-06-16,21.030001,21.360001,20.82,21.33,6422300,21.028859
2015-06-17,21.32,21.700001,21.27,21.58,5838600,21.275329
2015-06-18,21.76,22.08,21.700001,21.940001,7485100,21.630247
2015-06-19,21.940001,22.120001,21.67,21.870001,8891400,21.561236
2015-06-22,21.91,22.030001,21.450001,21.780001,12855900,21.472506
2015-06-23,21.82,21.99,21.049999,21.219999,10351600,20.920411
2015-06-24,21.190001,21.299999,20.91,21.01,6334200,20.713377
2015-06-25,21.01,21.299999,21.01,21.17,8761500,20.871118
2015-06-26,21.0,21.02,20.65,20.74,10532400,20.447188
2015-06-29,20.5,20.709999,20.09,20.120001,9793100,19.835943
2015-06-30,20.24,20.33,19.969999,20.110001,7897900,19.826084
2015-07-01,20.610001,20.9,20.219999,20.4,7572300,20.111988
2015-07-02,20.389999,20.549999,20.290001,20.42,3644100,20.131707
2015-07-06,20.25,20.530001,20.02,20.17,5369400,19.885236
2015-07-07,20.049999,20.129999,19.16,19.790001,14856300,19.510602
2015-07-08,19.68,19.799999,19.49,19.65,8312300,19.372577
2015-07-09,19.959999,20.049999,19.290001,19.41,8939700,19.135966
2015-07-10,19.66,19.93,19.610001,19.75,5417700,19.471166
2015-07-13,19.950001,19.99,19.75,19.879999,5311800,19.599329
2015-07-14,19.91,19.93,19.629999,19.889999,6230400,19.609189
2015-07-15,19.84,19.969999,19.57,19.75,6643300,19.471166
2015-07-16,19.870001,20.190001,19.799999,20.190001,7071200,19.904954
2015-07-17,20.120001,20.139999,19.809999,20.07,5509300,19.786648
2015-07-20,20.07,20.15,19.65,19.700001,4710300,19.421872
2015-07-21,19.66,20.07,19.66,19.790001,3743000,19.510602
2015-07-22,19.65,19.65,19.17,19.41,8911800,19.135966
2015-07-23,19.450001,19.940001,19.41,19.65,4247900,19.372577
2015-07-24,19.790001,19.809999,19.34,19.42,4721100,19.145825
