Date,Open_DIS,High_DIS,Low_DIS,Close_DIS,Volume_DIS,AdjClose_DIS
2015-06-05,110.300003,110.769997,109.800003,110.300003,4323500,109.662208
2015-06-08,110.029999,110.239998,109.209999,109.290001,6068100,108.658046
2015-06-09,109.349998,109.410004,107.650002,108.519997,7711800,107.892494
2015-06-10,108.900002,110.25,108.730003,110.0,5128700,109.36394
2015-06-11,110.010002,110.959999,110.010002,110.620003,5036300,109.980357
2015-06-12,110.330002,110.529999,109.540001,109.949997,4009900,109.314226
2015-06-15,109.269997,110.410004,108.93,110.18,5742200,109.542899
2015-06-16,110.349998,111.290001,109.900002,111.059998,3848300,110.417808
2015-06-17,111.199997,111.940002,110.879997,111.489998,4732300,110.845322
2015-06-18,111.830002,113.550003,111.580002,113.220001,6929900,112.565322
2015-06-19,112.830002,113.480003,112.400002,112.620003,9587700,111.968793
2015-06-22,113.400002,114.470001,113.269997,113.529999,5906200,112.873527
2015-06-23,113.93,114.519997,113.720001,114.410004,6003100,113.748443
2015-06-24,114.300003,114.559998,113.709999,113.769997,5636200,113.112137
2015-06-25,114.620003,115.279999,114.389999,114.449997,6213500,113.788205
2015-06-26,114.970001,115.18,114.410004,114.989998,9509600,114.325084
2015-06-29,114.160004,115.190002,113.0,113.050003,7618200,112.396307
2015-06-30,113.93,114.860001,113.550003,114.139999,6946700,113.48
2015-07-01,114.949997,115.25,114.339996,115.129997,5435400,115.129997
2015-07-02,115.379997,115.669998,114.449997,114.970001,5549500,114.970001
2015-07-06,114.470001,115.860001,114.269997,115.699997,5880500,115.699997
2015-07-07,116.419998,117.190002,114.860001,117.099998,8359900,117.099998
2015-07-08,116.5,116.68,115.110001,115.190002,8445200,115.190002
2015-07-09,116.830002,117.209999,115.510002,115.599998,7016800,115.599998
2015-07-10,117.050003,117.43,115.669998,116.440002,7020700,116.440002
2015-07-13,117.75,118.309998,117.25,118.050003,7595200,118.050003
2015-07-14,118.029999,118.139999,117.699997,117.849998,5061700,117.849998
2015-07-15,118.040001,118.900002,117.849998,118.300003,4845200,118.300003
2015-07-16,119.0,119.150002,118.540001,119.07,6303000,119.07
2015-07-17,118.690002,118.900002,118.029999,118.860001,5109900,118.860001
2015-07-20,119.290001,119.900002,118.889999,119.580002,6611400,119.580002
2015-07-21,119.760002,119.800003,118.830002,119.309998,4785200,119.309998
2015-07-22,119.279999,119.699997,118.93,119.330002,4714100,119.330002
2015-07-23,119.300003,119.669998,118.57,118.800003,3347200,118.800003
2015-07-24,119.349998,119.800003,118.580002,118.910004,4320900,118.910004
2015-07-27,118.629997,118.800003,117.779999,118.25,5179300,118.25
2015-07-28,118.68,118.900002,117.870003,118.459999,6447300,118.459999
2015-07-29,118.849998,119.860001,118.410004,119.839996,6083500,119.839996
2015-07-30,119.709999,120.349998,119.010002,120.029999,4430100,120.029999
2015-07-31,120.120003,120.720001,119.599998,120.0,5767300,120.0
2015-08-03,120.879997,121.730003,120.169998,121.120003,8426900,121.120003
2015-08-04,121.5,122.080002,120.610001,121.690002,12624400,121.690002
2015-08-05,110.830002,113.949997,109.5,110.529999,61011200,110.529999
2015-08-06,110.400002,110.400002,104.239998,108.550003,57175200,108.550003
2015-08-07,108.75,109.559998,107.660004,109.349998,15791600,109.349998
2015-08-10,110.0,111.0,109.739998,111.0,11617000,111.0
2015-08-11,110.339996,110.489998,107.949997,108.0,13574000,108.0
2015-08-12,107.0,107.440002,105.510002,106.989998,16923500,106.989998
2015-08-13,107.209999,108.510002,106.75,107.519997,9754500,107.519997
2015-08-14,107.610001,107.669998,106.519997,107.160004,7104500,107.160004
2015-08-17,107.300003,109.279999,106.839996,109.050003,7954000,109.050003
2015-08-18,108.040001,108.25,106.800003,106.940002,12021500,106.940002
2015-08-19,106.580002,107.75,105.769997,106.449997,9484400,106.449997
2015-08-20,104.339996,105.0,99.760002,100.019997,34651300,100.019997
2015-08-21,97.5,100.629997,96.610001,98.839996,30875700,98.839996
2015-08-24,93.379997,100.0,90.0,95.360001,30159200,95.360001
2015-08-25,99.730003,100.089996,95.720001,95.889999,19079400,95.889999
2015-08-26,98.690002,99.489998,96.260002,99.230003,13755900,99.230003
2015-08-27,101.349998,102.620003,99.779999,102.169998,17532200,102.169998
2015-08-28,102.190002,103.339996,101.809998,102.480003,11005200,102.480003
2015-08-31,102.300003,102.459999,100.910004,101.879997,8518200,101.879997
2015-09-01,99.309998,101.339996,99.160004,99.510002,14212600,99.510002
2015-09-02,100.919998,101.940002,99.550003,101.889999,12148200,101.889999
2015-09-03,102.199997,103.029999,101.459999,101.989998,8953300,101.989998
2015-09-04,100.959999,101.82,100.360001,100.970001,9213800,100.970001
2015-09-08,102.949997,104.150002,102.519997,104.010002,8571500,104.010002
2015-09-09,104.75,104.949997,101.68,101.910004,9577500,101.910004
2015-09-10,101.849998,103.220001,101.330002,102.599998,9026100,102.599998
2015-09-11,102.349998,104.5,102.199997,104.480003,9529800,104.480003
2015-09-14,104.650002,104.900002,102.989998,103.82,6959800,103.82
2015-09-15,103.25,103.800003,101.830002,103.43,9171400,103.43
2015-09-16,103.32,104.07,102.75,103.959999,6509700,103.959999
2015-09-17,104.199997,105.949997,103.75,104.199997,7792600,104.199997
2015-09-18,103.199997,104.209999,102.389999,102.839996,13559400,102.839996
2015-09-21,103.68,103.830002,102.459999,103.410004,7152300,103.410004
2015-09-22,102.18,102.75,101.480003,102.489998,8330100,102.489998
2015-09-23,102.440002,102.629997,101.379997,101.57,5818000,101.57
2015-09-24,101.0,101.330002,99.239998,100.620003,10706800,100.620003
