Date,Open_GOOGL,High_GOOGL,Low_GOOGL,Close_GOOGL,Volume_GOOGL,AdjClose_GOOGL
2015-06-05,552.0,553.330017,547.380005,549.530029,1219800,549.530029
2015-06-08,549.609985,549.869995,542.950012,543.47998,1366800,543.47998
2015-06-09,543.419983,544.840027,538.849976,542.159973,1500800,542.159973
2015-06-10,545.700012,554.780029,545.109985,552.599976,1515800,552.599976
2015-06-11,554.48999,554.830017,549.169983,550.039978,1293600,550.039978
2015-06-12,547.150024,548.849976,545.630005,547.469971,1273400,547.469971
2015-06-15,542.72998,544.049988,539.210022,543.0,1357500,543.0
2015-06-16,544.47998,546.690002,541.570007,544.869995,1626300,544.869995
2015-06-17,545.419983,548.359985,541.809998,546.599976,1222000,546.599976
2015-06-18,548.0,557.25,548.0,556.179993,2059600,556.179993
2015-06-19,556.52002,557.909973,552.26001,557.52002,2964500,557.52002
2015-06-22,559.409973,565.609985,558.909973,559.679993,1737600,559.679993
2015-06-23,559.789978,564.900024,557.150024,563.390015,1569800,563.390015
2015-06-24,562.47998,562.640015,556.809998,558.570007,1446200,558.570007
2015-06-25,560.299988,563.140015,557.460022,557.950012,1334200,557.950012
2015-06-26,559.710022,560.0,551.849976,553.059998,2183800,553.059998
2015-06-29,546.75,550.900024,540.23999,541.25,1887800,541.25
2015-06-30,545.090027,545.900024,539.539978,540.039978,1725500,540.039978
2015-07-01,543.659973,545.809998,539.76001,543.299988,1538000,543.299988
2015-07-02,544.73999,548.0,543.570007,547.340027,1406200,547.340027
2015-07-06,542.25,548.580017,542.099976,545.619995,1280700,545.619995
2015-07-07,547.429993,551.0,539.849976,550.030029,1678900,550.030029
2015-07-08,545.599976,548.280029,541.200012,541.700012,1383100,541.700012
2015-07-09,548.650024,548.880005,544.619995,544.650024,1480000,544.650024
2015-07-10,553.710022,559.289978,552.0,556.109985,2171800,556.109985
2015-07-13,559.51001,572.849976,558.700012,571.72998,2089600,571.72998
2015-07-14,574.5,589.710022,574.169983,584.179993,3741600,584.179993
2015-07-15,583.73999,588.690002,580.210022,583.960022,2073300,583.960022
2015-07-16,589.5,604.5,587.919983,601.780029,5632100,601.780029
2015-07-17,680.0,703.0,678.0,699.619995,12858100,699.619995
2015-07-20,688.97998,697.799988,681.77002,692.840027,5121800,692.840027
2015-07-21,684.880005,705.599976,684.150024,695.349976,3780200,695.349976
2015-07-22,694.02002,713.330017,691.619995,695.099976,4155000,695.099976
2015-07-23,691.849976,696.070007,671.590027,674.72998,3811600,674.72998
2015-07-24,676.77002,677.789978,653.179993,654.77002,4131100,654.77002
2015-07-27,651.570007,667.070007,651.549988,658.27002,2919100,658.27002
2015-07-28,661.76001,664.099976,653.409973,659.659973,1718200,659.659973
2015-07-29,662.26001,663.330017,652.840027,661.429993,1837800,661.429993
2015-07-30,657.440002,668.049988,651.690002,664.559998,1980300,664.559998
2015-07-31,664.700012,665.0,657.200012,657.5,1746100,657.5
2015-08-03,657.659973,666.669983,657.659973,664.719971,1567400,664.719971
2015-08-04,664.340027,668.0,660.51001,661.280029,1309400,661.280029
2015-08-05,665.75,679.909973,665.580017,673.289978,1822400,673.289978
2015-08-06,673.98999,674.75,660.72998,670.150024,2033000,670.150024
2015-08-07,667.780029,668.799988,658.869995,664.390015,1377200,664.390015
2015-08-10,667.090027,671.619995,660.22998,663.140015,1722900,663.140015
2015-08-11,699.580017,704.0,684.320007,690.299988,5494000,690.299988
2015-08-12,694.48999,696.0,680.51001,691.469971,2924900,691.469971
2015-08-13,689.200012,694.030029,682.179993,686.51001,1817700,686.51001
2015-08-14,684.039978,692.26001,682.900024,689.369995,1379900,689.369995
2015-08-17,688.039978,694.73999,683.059998,694.109985,1234000,694.109985
2015-08-18,691.070007,695.76001,685.320007,688.72998,1385500,688.72998
2015-08-19,690.109985,700.200012,686.799988,694.039978,2504000,694.039978
2015-08-20,689.099976,696.159973,675.280029,679.47998,2889900,679.47998
2015-08-21,671.039978,672.890015,643.099976,644.030029,4594000,644.030029
2015-08-24,600.599976,627.679993,593.090027,618.109985,6489400,618.109985
2015-08-25,646.469971,647.0,611.669983,612.469971,3571500,612.469971
2015-08-26,643.099976,662.47998,630.369995,659.73999,4387000,659.73999
2015-08-27,671.98999,673.97998,651.099976,667.960022,2948700,667.960022
2015-08-28,665.76001,667.0,653.75,659.690002,1941800,659.690002
2015-08-31,654.340027,664.409973,646.349976,647.820007,1946800,647.820007
2015-09-01,633.809998,644.440002,625.059998,629.559998,2572900,629.559998
2015-09-02,638.0,645.059998,630.640015,644.909973,1881500,644.909973
2015-09-03,647.929993,651.25,633.809998,637.049988,1728600,637.049988
2015-09-04,629.700012,634.5,626.5,628.960022,2023900,628.960022
2015-09-08,641.0,645.039978,632.900024,643.880005,1954600,643.880005
2015-09-09,651.880005,657.359985,640.900024,643.409973,2048900,643.409973
2015-09-10,643.900024,654.900024,641.700012,651.080017,1392500,651.080017
2015-09-11,650.210022,655.309998,647.409973,655.299988,1744600,655.299988
2015-09-14,655.630005,655.919983,649.5,652.469971,1497100,652.469971
